lead_date,lead_id,partner_id,subpartner_id,subpartner_name,lost_reason,source_country_short_name,source_country,state,state_updated,city_name,country_name,partner_state,repeat,repeat_all,singular_id
"September 16, 2025","3,233,778","63,645","63,645",University College London,Parent lead already present,JP,Japan,lost,lost,London,United Kingdom,repeat,true,true,
"July 26, 2025","3,093,912","63,645","63,645",University College London,Enquired just for cashback/offers,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"August 17, 2025","3,151,831","63,645","63,645",University College London,Not responded,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"September 11, 2025","3,223,909","63,645","63,645",University College London,Parent lead already present,AU,Australia,lost,lost,London,United Kingdom,repeat,true,true,
"September 12, 2025","3,224,746","63,645","63,645",University College London,Parent lead already present,ZA,South Africa,lost,lost,London,United Kingdom,repeat,true,true,
"August 10, 2025","3,128,514","63,645","63,645",University College London,Parent lead already present,IR,Iran (Islamic Republic of),lost,lost,London,United Kingdom,repeat,true,true,
"September 11, 2025","3,222,735","63,645","63,645",University College London,Booked a private accommodation,MY,Malaysia,lost,lost,London,United Kingdom,not_booked,false,false,
"August 15, 2025","3,142,984","63,645","63,645",University College London,Parent lead already present,,,lost,lost,London,United Kingdom,repeat,true,true,
"August 29, 2025","3,189,090","63,645","63,645",University College London,Parent lead already present,RW,Rwanda,lost,lost,London,United Kingdom,repeat,true,true,
"September 18, 2025","3,238,731","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 17, 2025","3,238,172","63,645","63,645",University College London,Family stay,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"September 12, 2025","3,224,712","63,645","63,645",University College London,Parent lead already present,ZA,South Africa,lost,lost,London,United Kingdom,repeat,true,true,
"September 4, 2025","3,205,502","63,645","63,645",University College London,Not responded,CN,China,lost,lost,London,United Kingdom,not_booked,false,false,
"October 4, 2025","3,266,891","63,645","63,645",University College London,Repeat lead,HK,Hong Kong,lost,lost,Sydney,Australia,repeat,false,true,
"August 10, 2025","3,129,274","63,645","63,645",University College London,Junk Lead,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"September 10, 2025","3,219,631","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 15, 2025","3,231,384","63,645","63,645",University College London,Parent lead already present,BR,Brazil,lost,lost,London,United Kingdom,repeat,true,true,
"August 14, 2025","3,140,525","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"July 19, 2025","3,079,040","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 1, 2025","3,197,928","63,645","63,645",University College London,Parent lead already present,CO,Colombia,lost,lost,London,United Kingdom,repeat,true,true,
"September 12, 2025","3,224,747","63,645","63,645",University College London,Parent lead already present,ZA,South Africa,lost,lost,London,United Kingdom,repeat,true,true,
"September 6, 2025","3,209,635","63,645","63,645",University College London,Parent lead already present,PK,Pakistan,lost,lost,Wembley,United Kingdom,repeat,true,true,
"September 18, 2025","3,240,323","63,645","63,645",University College London,Repeat lead,JP,Japan,lost,lost,London,United Kingdom,repeat,false,false,
"August 16, 2025","3,146,148","63,645","63,645",University College London,,GB,United Kingdom,won,won,London,United Kingdom,booked,false,false,
"September 16, 2025","3,233,769","63,645","63,645",University College London,Parent lead already present,JP,Japan,lost,lost,Kingston upon Thames,United Kingdom,repeat,true,true,
"July 30, 2025","3,102,964","63,645","63,645",University College London,Parent lead already present,HK,Hong Kong,lost,lost,London,United Kingdom,repeat,true,true,
"August 19, 2025","3,159,122","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 8, 2025","3,215,625","63,645","63,645",University College London,Booked on Campus,TR,Türkiye,lost,lost,London,United Kingdom,not_booked,false,true,
"August 11, 2025","3,130,654","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,Wembley,United Kingdom,repeat,true,true,
"August 7, 2025","3,122,676","63,645","63,645",University College London,Not responded,GB,United Kingdom,lost,lost,Wembley,United Kingdom,not_booked,false,false,
"September 10, 2025","3,220,936","63,645","63,645",University College London,Booked a private accommodation,IN,India,lost,lost,London,United Kingdom,not_booked,false,false,
"August 8, 2025","3,125,647","63,645","63,645",University College London,Parent lead already present,ID,Indonesia,lost,lost,London,United Kingdom,repeat,true,true,
"November 7, 2025","3,301,253","63,645","63,645",University College London,,US,United States,contacted,Processing,London,United Kingdom,non_responsive,false,false,
"July 16, 2025","3,072,873","63,645","63,645",University College London,Parent lead already present,DK,Denmark,lost,lost,Wembley,United Kingdom,repeat,true,true,
"September 10, 2025","3,221,297","63,645","63,645",University College London,,HK,Hong Kong,won,won,London,United Kingdom,booked,false,false,
"August 15, 2025","3,144,718","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 17, 2025","3,149,985","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 10, 2025","3,219,637","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"July 25, 2025","3,091,836","63,645","63,645",University College London,Parent lead already present,LY,Libya,lost,lost,London,United Kingdom,repeat,true,true,
"September 23, 2025","3,249,911","63,645","63,645",University College London,Booked a private accommodation,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"September 11, 2025","3,222,725","63,645","63,645",University College London,Parent lead already present,HK,Hong Kong,lost,lost,London,United Kingdom,repeat,true,true,
"July 25, 2025","3,091,141","63,645","63,645",University College London,Looking for private house/rental,IN,India,lost,lost,London,United Kingdom,not_booked,false,false,
"September 9, 2025","3,216,720","63,645","63,645",University College London,Booked on Campus,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"August 28, 2025","3,185,697","63,645","63,645",University College London,Not responded,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"August 17, 2025","3,151,781","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 30, 2025","3,192,798","63,645","63,645",University College London,Parent lead already present,CN,China,lost,lost,London,United Kingdom,repeat,true,true,
"August 29, 2025","3,188,907","63,645","63,645",University College London,Parent lead already present,RW,Rwanda,lost,lost,London,United Kingdom,repeat,true,true,
"September 12, 2025","3,225,208","63,645","63,645",University College London,Booked directly on the property website,VN,Viet Nam,lost,lost,London,United Kingdom,not_booked,false,false,
"July 26, 2025","3,092,782","63,645","63,645",University College London,Parent lead already present,PK,Pakistan,lost,lost,London,United Kingdom,repeat,true,true,
"August 21, 2025","3,166,488","63,645","63,645",University College London,Number not Reachable,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"July 22, 2025","3,084,212","63,645","63,645",University College London,Parent lead already present,CN,China,lost,lost,London,United Kingdom,repeat,true,true,
"September 6, 2025","3,209,024","63,645","63,645",University College London,Booked a private accommodation,US,United States,lost,lost,London,United Kingdom,not_booked,false,false,
"August 31, 2025","3,193,338","63,645","63,645",University College London,Parent lead already present,US,United States,lost,lost,London,United Kingdom,repeat,true,true,
"July 14, 2025","3,067,829","63,645","63,645",University College London,Booked a private accommodation,ES,Spain,lost,lost,London,United Kingdom,not_booked,false,false,
"August 21, 2025","3,166,397","63,645","63,645",University College London,,US,United States,won,won,London,United Kingdom,booked,false,false,
"September 18, 2025","3,239,743","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,Wembley,United Kingdom,repeat,true,true,
"July 21, 2025","3,082,814","63,645","63,645",University College London,Parent lead already present,KR,"Korea, Republic of",lost,lost,London,United Kingdom,repeat,true,true,
"August 3, 2025","3,110,599","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 9, 2025","3,216,603","63,645","63,645",University College London,Booked through another agent,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"September 12, 2025","3,224,670","63,645","63,645",University College London,Parent lead already present,ZA,South Africa,lost,lost,London,United Kingdom,repeat,true,true,
"September 15, 2025","3,232,113","63,645","63,645",University College London,Number not Reachable,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"August 17, 2025","3,150,634","63,645","63,645",University College London,Not responded,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"September 11, 2025","3,222,649","63,645","63,645",University College London,Dependent stay,BN,Brunei Darussalam,lost,lost,London,United Kingdom,not_booked,false,true,
"September 13, 2025","3,228,542","63,645","63,645",University College London,Parent lead already present,KR,"Korea, Republic of",lost,lost,London,United Kingdom,repeat,true,true,
"August 17, 2025","3,151,782","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 15, 2025","3,232,895","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"November 7, 2025","3,301,257","63,645","63,645",University College London,Parent lead already present,US,United States,lost,lost,London,United Kingdom,repeat,true,true,
"August 23, 2025","3,171,383","63,645","63,645",University College London,Parent lead already present,,,lost,lost,London,United Kingdom,repeat,true,true,
"August 16, 2025","3,148,610","63,645","63,645",University College London,Not responded,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"September 4, 2025","3,204,972","63,645","63,645",University College London,Parent lead already present,CA,Canada,lost,lost,London,United Kingdom,repeat,true,true,
"September 16, 2025","3,235,441","63,645","63,645",University College London,Parent lead already present,JP,Japan,lost,lost,London,United Kingdom,repeat,true,true,
"September 6, 2025","3,209,891","63,645","63,645",University College London,,IN,India,won,won,London,United Kingdom,booked,false,false,
"August 2, 2025","3,110,243","63,645","63,645",University College London,Not responded,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"July 30, 2025","3,101,560","63,645","63,645",University College London,Parent lead already present,CO,Colombia,lost,lost,London,United Kingdom,repeat,true,true,
"September 10, 2025","3,221,718","63,645","63,645",University College London,Parent lead already present,,,lost,lost,London,United Kingdom,repeat,true,true,
"September 4, 2025","3,204,468","63,645","63,645",University College London,Booked on Campus,JP,Japan,lost,lost,London,United Kingdom,not_booked,false,false,
"September 5, 2025","3,208,115","63,645","63,645",University College London,Parent lead already present,ID,Indonesia,lost,lost,London,United Kingdom,repeat,true,true,
"September 5, 2025","3,208,748","63,645","63,645",University College London,Parent lead already present,MM,Myanmar,lost,lost,London,United Kingdom,repeat,true,true,
"August 21, 2025","3,165,312","63,645","63,645",University College London,Not a Student,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"August 12, 2025","3,134,457","63,645","63,645",University College London,Parent lead already present,CA,Canada,lost,lost,London,United Kingdom,repeat,true,true,
"September 7, 2025","3,212,917","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 20, 2025","3,162,946","63,645","63,645",University College London,Parent lead already present,KR,"Korea, Republic of",lost,lost,London,United Kingdom,repeat,true,true,
"August 29, 2025","3,187,977","63,645","63,645",University College London,Not responded,FR,France,lost,lost,London,United Kingdom,not_booked,false,false,
"September 16, 2025","3,233,772","63,645","63,645",University College London,Parent lead already present,JP,Japan,lost,lost,Wembley,United Kingdom,repeat,true,true,
"July 21, 2025","3,083,024","63,645","63,645",University College London,Parent lead already present,,,lost,lost,London,United Kingdom,repeat,true,true,
"July 28, 2025","3,097,837","63,645","63,645",University College London,Booked a private accommodation,IN,India,lost,lost,London,United Kingdom,not_booked,false,false,
"July 28, 2025","3,098,102","63,645","63,645",University College London,Parent lead already present,IN,India,lost,lost,Wembley,United Kingdom,repeat,true,true,
"August 14, 2025","3,141,666","63,645","63,645",University College London,Enquired just for cashback/offers,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"September 15, 2025","3,231,342","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,Wembley,United Kingdom,repeat,true,true,
"August 15, 2025","3,143,000","63,645","63,645",University College London,Parent lead already present,,,lost,lost,London,United Kingdom,repeat,true,true,
"September 29, 2025","3,260,964","63,645","63,645",University College London,,CN,China,won,won,London,United Kingdom,booked,false,true,
"August 22, 2025","3,168,003","63,645","63,645",University College London,Booked a private accommodation,ID,Indonesia,lost,lost,London,United Kingdom,not_booked,false,false,
"August 7, 2025","3,122,259","63,645","63,645",University College London,Parent lead already present,IR,Iran (Islamic Republic of),lost,lost,London,United Kingdom,repeat,true,true,
"September 3, 2025","3,201,324","63,645","63,645",University College London,Not responded,US,United States,lost,lost,London,United Kingdom,not_booked,false,true,
"August 30, 2025","3,191,836","63,645","63,645",University College London,Parent lead already present,DE,Germany,lost,lost,London,United Kingdom,repeat,true,true,
"August 12, 2025","3,134,404","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"July 20, 2025","3,079,856","63,645","63,645",University College London,Parent lead already present,US,United States,lost,lost,London,United Kingdom,repeat,true,true,
"July 31, 2025","3,104,858","63,645","63,645",University College London,Parent lead already present,HK,Hong Kong,lost,lost,London,United Kingdom,repeat,true,true,
"August 19, 2025","3,158,556","63,645","63,645",University College London,,GB,United Kingdom,won,won,London,United Kingdom,booked,false,false,
"September 24, 2025","3,252,520","63,645","63,645",University College London,Booked directly on the property website,GB,United Kingdom,lost,lost,Wembley,United Kingdom,not_booked,false,false,
"August 13, 2025","3,136,208","63,645","63,645",University College London,Parent lead already present,MY,Malaysia,lost,lost,London,United Kingdom,repeat,true,true,
"September 16, 2025","3,233,297","63,645","63,645",University College London,Parent lead already present,KZ,Kazakhstan,lost,lost,London,United Kingdom,repeat,true,true,
"August 3, 2025","3,111,388","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 3, 2025","3,203,194","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"July 31, 2025","3,105,078","63,645","63,645",University College London,,MK,North Macedonia,won,won,London,United Kingdom,booked,false,false,
"September 3, 2025","3,202,686","63,645","63,645",University College London,Parent lead already present,HK,Hong Kong,lost,lost,London,United Kingdom,repeat,true,true,
"July 30, 2025","3,101,524","63,645","63,645",University College London,Enquired just for cashback/offers,CO,Colombia,lost,lost,London,United Kingdom,not_booked,false,false,
"September 1, 2025","3,195,811","63,645","63,645",University College London,Not responded,MU,Mauritius,lost,lost,London,United Kingdom,not_booked,false,false,
"July 18, 2025","3,076,912","63,645","63,645",University College London,Application Rejected by University,MY,Malaysia,lost,lost,London,United Kingdom,not_booked,false,false,
"August 19, 2025","3,157,642","63,645","63,645",University College London,Parent lead already present,CN,China,lost,lost,London,United Kingdom,repeat,true,true,
"September 16, 2025","3,235,373","63,645","63,645",University College London,Parent lead already present,JP,Japan,lost,lost,Wembley,United Kingdom,repeat,true,true,
"September 1, 2025","3,195,335","63,645","63,645",University College London,,CO,Colombia,won,won,London,United Kingdom,booked,false,false,
"August 3, 2025","3,110,773","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"July 21, 2025","3,082,660","63,645","63,645",University College London,Not responded,HK,Hong Kong,lost,lost,London,United Kingdom,not_booked,false,false,
"August 25, 2025","3,178,109","63,645","63,645",University College London,Parent lead already present,ES,Spain,lost,lost,London,United Kingdom,repeat,true,true,
